ts_ms,iso,exchange_id,symbol,book_level,raw_nonce,best_bid,best_ask,bid1_price,bid1_size,bid2_price,bid2_size,bid3_price,bid3_size,bid4_price,bid4_size,bid5_price,bid5_size,ask1_price,ask1_size,ask2_price,ask2_size,ask3_price,ask3_size,ask4_price,ask4_size,ask5_price,ask5_size
1755855167301,2025-08-22T09:32:47.301000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,6.6700000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,2.7100000000,4315.9000000000,2.3200000000,4316.0700000000,37.6500000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855167601,2025-08-22T09:32:47.601000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,5.0100000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,0.0100000000,4315.9000000000,2.3200000000,4316.0700000000,36.7300000000,4316.0900000000,1.1600000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855167601,2025-08-22T09:32:47.601000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,5.0100000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,0.0100000000,4315.9000000000,2.3200000000,4316.0700000000,36.7300000000,4316.0900000000,1.1600000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855167601,2025-08-22T09:32:47.601000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,5.0100000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,0.0100000000,4315.9000000000,2.3200000000,4316.0700000000,36.7300000000,4316.0900000000,1.1600000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855167901,2025-08-22T09:32:47.901000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,6.9000000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,0.0100000000,4315.9000000000,2.3200000000,4316.0700000000,35.2200000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855167901,2025-08-22T09:32:47.901000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,6.9000000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,0.0100000000,4315.9000000000,2.3200000000,4316.0700000000,35.2200000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855167901,2025-08-22T09:32:47.901000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,6.9000000000,4316.0200000000,0.0200000000,4316.0000000000,0.0400000000,4315.9200000000,0.0100000000,4315.9000000000,2.3200000000,4316.0700000000,35.2200000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855168201,2025-08-22T09:32:48.201000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,25.5900000000,4316.0200000000,6.9700000000,4316.0000000000,0.0400000000,4315.9200000000,2.7200000000,4315.9000000000,2.3200000000,4316.0700000000,28.4300000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855168201,2025-08-22T09:32:48.201000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,25.5900000000,4316.0200000000,6.9700000000,4316.0000000000,0.0400000000,4315.9200000000,2.7200000000,4315.9000000000,2.3200000000,4316.0700000000,28.4300000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
1755855168201,2025-08-22T09:32:48.201000+00:00,bybit,ETH/USDT:USDT,L2,,4316.0600000000,4316.0700000000,4316.0600000000,25.5900000000,4316.0200000000,6.9700000000,4316.0000000000,0.0400000000,4315.9200000000,2.7200000000,4315.9000000000,2.3200000000,4316.0700000000,28.4300000000,4316.0900000000,0.0100000000,4316.1000000000,0.8300000000,4316.1300000000,0.0100000000,4316.1400000000,0.0200000000
